side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
22,484,35,localrand,pushsum,1152,1,3219,1,40000,0.5,0.506,8,926,9216,25752,
22,484,35,localrand,gossip,1571,1,4357,1,40000,0.5,0.545,8,926,12568,34856,
22,484,36,flat,heat,1525,1,4053,1,40000,0.5,0.949,4,924,6100,16212,
22,484,36,flat,pushsum,954,1,2556,1,40000,0.5,0.573,4,924,3816,10224,
22,484,36,flat,gossip,983,1,2639,1,40000,0.5,0.409,4,924,3932,10556,
22,484,36,curved,heat,98,1,254,1,40000,0.5,0.06,92,926,9016,23368,
22,484,36,curved,pushsum,89,1,224,1,40000,0.5,0.054,92,926,8188,20608,
22,484,36,curved,gossip,1676,1,4278,1,40000,0.5,0.676,92,926,154192,393576,
22,484,36,localrand,heat,1929,1,5115,1,40000,0.5,0.736,10,924,19290,51150,
22,484,36,localrand,pushsum,1209,1,3227,1,40000,0.5,0.424,10,924,12090,32270,
22,484,36,localrand,gossip,1531,1,4129,1,40000,0.5,0.316,10,924,15310,41290,
22,484,32,flat,heat,1636,1,4164,1,40000,0.5,0.844,4,924,6544,16656,
22,484,32,flat,pushsum,1029,1,2630,1,40000,0.5,0.4,4,924,4116,10520,
22,484,32,flat,gossip,1058,1,2714,1,40000,0.5,0.335,4,924,4232,10856,
22,484,32,curved,heat,85,1,202,1,40000,0.5,0.06,224,924,19040,45248,
22,484,32,curved,pushsum,69,1,152,1,40000,0.5,0.032,224,924,15456,34048,
22,484,32,curved,gossip,3580,1,8467,1,40000,0.5,1.475,224,924,801920,1896608,
22,484,32,localrand,heat,2029,1,5334,1,40000,0.5,0.664,9,924,18261,48006,
22,484,32,localrand,pushsum,1279,1,3388,1,40000,0.5,0.25,9,924,11511,30492,
22,484,32,localrand,gossip,1712,1,4551,1,40000,0.5,0.15,9,924,15408,40959,
22,484,31,flat,heat,1054,1,3582,1,40000,0.5,0.75,4,924,4216,14328,
22,484,31,flat,pushsum,623,1,2221,1,40000,0.5,0.36,4,924,2492,8884,
22,484,31,flat,gossip,644,1,2297,1,40000,0.5,0.563,4,924,2576,9188,
22,484,31,curved,heat,94,1,268,1,40000,0.5,0.055,134,924,12596,35912,
22,484,31,curved,pushsum,99,1,244,1,40000,0.5,0.036,134,924,13266,32696,
22,484,31,curved,gossip,2029,1,5480,1,40000,0.5,1.213,134,924,271886,734320,
22,484,31,localrand,heat,1268,1,4286,1,40000,0.5,0.149,9,925,11412,38574,
22,484,31,localrand,pushsum,609,1,2216,1,40000,0.5,0.047,9,925,5481,19944,
22,484,31,localrand,gossip,831,1,2946,1,40000,0.5,0.053,9,925,7479,26514,
22,484,41,flat,heat,1734,1,4263,1,40000,0.5,0.691,4,924,6936,17052,
22,484,41,flat,pushsum,1107,1,2709,1,40000,0.5,0.299,4,924,4428,10836,
22,484,41,flat,gossip,1142,1,2798,1,40000,0.5,0.2,4,924,4568,11192,
22,484,41,curved,heat,102,1,269,1,40000,0.5,0.103,207,925,21114,55683,
22,484,41,curved,pushsum,79,1,219,1,40000,0.5,0.067,207,925,16353,45333,
22,484,41,curved,gossip,3522,1,9063,1,40000,0.5,1.178,207,925,729054,1876041,
22,484,41,localrand,heat,1884,1,4966,1,40000,0.5,0.337,9,925,16956,44694,
22,484,41,localrand,pushsum,1203,1,3026,1,40000,0.5,0.174,9,925,10827,27234,
22,484,41,localrand,gossip,1668,1,4289,1,40000,0.5,0.214,9,925,15012,38601,
22,484,38,flat,heat,1153,1,3681,1,40000,0.5,0.696,4,924,4612,14724,
22,484,38,flat,pushsum,753,1,2355,1,40000,0.5,0.362,4,924,3012,9420,
22,484,38,flat,gossip,777,1,2433,1,40000,0.5,0.349,4,924,3108,9732,
22,484,38,curved,heat,126,1,311,1,40000,0.5,0.059,95,925,11970,29545,
22,484,38,curved,pushsum,101,1,223,1,40000,0.5,0.045,95,925,9595,21185,
22,484,38,curved,gossip,933,1,2262,1,40000,0.5,0.359,95,925,88635,214890,
22,484,38,localrand,heat,1332,1,4102,1,40000,0.5,0.542,9,925,11988,36918,
22,484,38,localrand,pushsum,1012,1,3095,1,40000,0.5,0.32,9,925,9108,27855,
22,484,38,localrand,gossip,1385,1,4226,1,40000,0.5,0.274,9,925,12465,38034,
22,484,33,flat,heat,1606,1,4135,1,40000,0.5,0.815,4,924,6424,16540,
22,484,33,flat,pushsum,1049,1,2650,1,40000,0.5,0.441,4,924,4196,10600,
22,484,33,flat,gossip,1081,1,2737,1,40000,0.5,0.325,4,924,4324,10948,
22,484,33,curved,heat,109,1,280,1,40000,0.5,0.062,117,926,12753,32760,
22,484,33,curved,pushsum,86,1,208,1,40000,0.5,0.06,117,926,10062,24336,
22,484,33,curved,gossip,1263,1,3317,1,40000,0.5,0.596,117,926,147771,388089,
